Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.4.2,0.3339,8.0582,350.0829,24.4922
13.4.2,0.33664,8.0582,350.0829,24.4922
13.4.3,0.33664,8.0582,350.0829,24.4922
13.4.3,0.33664,8.0582,350.0829,24.4922
13.4.3,0.33773,8.0582,350.0829,24.4922
13.4.4,0.33773,8.0582,349.3842,24.4922
13.4.4,0.33828,8.0582,350.0829,24.4922
13.4.4,0.33773,8.0582,350.0829,24.4922
13.4.4,0.33773,8.0582,349.3842,24.4922
13.4.5,0.33773,8.0582,350.0829,24.8145
13.4.5,0.33828,8.0582,349.3842,24.4922
13.4.5,0.33828,8.0582,350.0829,24.4922
13.4.6,0.33883,8.0582,349.3842,24.4922
13.4.6,0.33828,8.0582,349.3842,24.4922
13.4.6,0.33883,8.0582,349.3842,24.4922
13.4.7,0.33883,8.0582,349.3842,24.4922
13.4.7,0.33883,8.0582,349.3842,24.4922
13.4.7,0.33828,8.0582,349.3842,24.4922
13.4.8,0.33938,8.0582,349.3842,24.4922
13.4.8,0.33938,8.0582,349.3842,24.4922
13.4.8,0.33938,8.0582,349.3842,24.4922
13.4.8,0.33938,8.0582,349.3842,24.4922
13.4.9,0.33938,8.0582,349.3842,24.4922
13.4.9,0.33938,8.0582,349.3842,24.4922
13.4.9,0.33938,8.0582,349.3842,24.4922
13.4.10,0.33938,8.0582,349.3842,24.4922
13.4.10,0.33992,8.0582,349.3842,24.4922
13.4.10,0.33938,8.0582,349.3842,24.4922
13.4.11,0.33992,8.0582,349.3842,24.4922
13.4.11,0.33992,8.0582,349.3842,24.4922
13.4.11,0.34047,8.0582,349.3842,24.4922
13.4.12,0.33992,8.0305,349.3842,24.4922
13.4.12,0.33992,8.0582,349.3842,24.4922
13.4.12,0.34047,8.0305,349.3842,24.4922
13.4.12,0.34047,8.0305,349.3842,24.4922
13.4.13,0.34047,8.0305,349.3842,24.4922
13.4.13,0.34047,8.0305,349.3842,24.4922
13.4.13,0.34047,8.0305,349.3842,24.4922
13.4.14,0.34047,8.0305,349.3842,24.4922
13.4.14,0.34102,8.0305,349.3842,24.4922
13.4.14,0.34102,8.0305,349.3842,24.4922
13.4.15,0.34102,8.0305,349.3842,24.4922
13.4.15,0.34102,8.0305,349.3842,24.4922
13.4.15,0.34157,8.0305,349.3842,24.4922
13.4.16,0.34157,8.0305,349.3842,24.4922
13.4.16,0.34157,8.0305,349.3842,24.4922
13.4.16,0.34157,8.0305,349.3842,24.4922
13.4.16,0.34157,8.0305,349.3842,24.4922
13.4.17,0.34157,8.0305,349.3842,24.1699
13.4.17,0.34157,8.0305,349.3842,24.4922
13.4.17,0.34212,8.0305,349.3842,24.4922
13.4.18,0.34212,8.0305,349.3842,24.4922
13.4.18,0.34157,8.0305,349.3842,24.4922
13.4.18,0.34212,8.0305,349.3842,24.4922
13.4.19,0.34266,8.0305,349.3842,24.4922
13.4.19,0.34212,8.0305,349.3842,24.4922
13.4.19,0.34212,8.0305,349.3842,24.4922
13.4.20,0.34212,8.0305,349.3842,24.4922
13.4.20,0.34266,8.0305,349.3842,24.4922
13.4.20,0.34266,8.0305,349.3842,24.4922
13.4.20,0.34266,8.0305,349.3842,24.4922
13.4.21,0.34212,8.0305,349.3842,24.4922
13.4.21,0.34212,8.0305,349.3842,24.4922
13.4.21,0.34266,8.0305,349.3842,24.4922
13.4.22,0.34321,8.0028,349.3842,24.4922
13.4.22,0.34266,8.0305,349.3842,24.4922
13.4.22,0.34266,8.0305,349.3842,24.4922
13.4.23,0.34321,8.0305,349.3842,24.4922
13.4.23,0.34321,8.0028,349.3842,24.4922
13.4.23,0.34321,8.0305,349.3842,24.4922
