Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.26.2,0.36184,6.6663,334.5306,24.8145
13.26.2,0.36293,6.6434,334.5306,24.8145
13.26.2,0.36348,6.6663,334.5306,24.8145
13.26.3,0.36348,6.6434,334.5306,24.8145
13.26.3,0.36403,6.6434,334.5306,24.8145
13.26.3,0.36348,6.6434,334.5306,24.8145
13.26.4,0.36293,6.6663,334.5306,24.8145
13.26.4,0.36293,6.6434,334.5306,24.8145
13.26.4,0.36348,6.6434,334.5306,24.8145
13.26.4,0.36348,6.6434,334.5306,24.8145
13.26.5,0.36348,6.6663,334.5306,24.8145
13.26.5,0.36348,6.6663,334.5306,24.8145
13.26.5,0.36348,6.6434,334.5306,24.8145
13.26.6,0.36348,6.6434,334.5306,24.8145
13.26.6,0.36348,6.6663,334.5306,24.8145
13.26.6,0.36293,6.6434,334.5306,24.8145
13.26.7,0.36293,6.6434,334.5306,24.8145
13.26.7,0.36348,6.6434,334.5306,24.8145
13.26.7,0.36293,6.6663,334.5306,24.8145
13.26.8,0.36348,6.6434,334.5306,24.8145
13.26.8,0.36348,6.6434,334.5306,24.8145
13.26.8,0.36348,6.6434,334.5306,24.8145
13.26.8,0.36348,6.6663,334.5306,24.8145
13.26.9,0.36348,6.6663,334.5306,24.8145
13.26.9,0.36348,6.6663,334.5306,24.8145
13.26.9,0.36348,6.6434,334.5306,24.8145
13.26.10,0.36293,6.6434,334.5306,24.8145
13.26.10,0.36348,6.6434,334.5306,24.8145
13.26.10,0.36348,6.6434,334.5306,24.8145
13.26.11,0.36348,6.6434,334.5306,24.8145
13.26.11,0.36293,6.6434,334.5306,24.8145
13.26.11,0.36348,6.6434,334.5306,24.8145
13.26.12,0.36348,6.6434,334.5306,25.1367
13.26.12,0.36348,6.6434,334.5306,24.8145
13.26.12,0.36403,6.6434,334.5306,24.8145
13.26.12,0.36293,6.6434,334.5306,24.8145
13.26.13,0.36293,6.6434,334.5306,24.8145
13.26.13,0.36293,6.6434,334.5306,25.1367
13.26.13,0.36293,6.6434,334.5306,24.8145
13.26.14,0.36293,6.6434,334.5306,24.8145
13.26.14,0.36293,6.6434,334.5306,24.8145
13.26.14,0.36348,6.6434,334.5306,25.1367
13.26.15,0.36293,6.6434,334.5306,25.1367
13.26.15,0.36293,6.6434,334.5306,24.8145
13.26.15,0.36293,6.6434,334.5306,24.8145
13.26.16,0.36239,6.6434,334.5306,24.8145
13.26.16,0.36403,6.6434,334.5306,25.1367
13.26.16,0.36403,6.6434,334.5306,25.1367
13.26.16,0.36348,6.6434,334.5306,25.1367
13.26.17,0.36348,6.6434,334.5306,25.1367
13.26.17,0.36348,6.6434,334.5306,25.1367
13.26.17,0.36403,6.6434,334.5306,25.1367
13.26.18,0.36403,6.6434,334.5306,25.1367
13.26.18,0.36403,6.6434,334.5306,25.1367
13.26.18,0.36348,6.6434,334.5306,25.1367
13.26.19,0.36293,6.6434,334.5306,24.8145
13.26.19,0.36293,6.6434,334.5306,25.1367
13.26.19,0.36348,6.6434,334.5306,25.1367
13.26.20,0.36403,6.6434,334.5306,25.1367
13.26.20,0.36403,6.6434,334.5306,24.8145
13.26.20,0.36348,6.6434,334.5306,25.1367
13.26.20,0.36348,6.6434,334.5306,25.1367
13.26.21,0.36403,6.6434,334.5306,24.8145
13.26.21,0.36293,6.6434,334.5306,25.1367
13.26.21,0.36348,6.6434,334.5306,25.1367
13.26.22,0.36293,6.6434,334.5306,24.8145
13.26.22,0.36348,6.6434,334.5306,25.1367
13.26.22,0.36348,6.6434,334.5306,25.1367
13.26.23,0.36348,6.6434,334.5306,24.8145
13.26.23,0.36348,6.6434,334.5306,24.8145
13.26.23,0.36403,6.6434,334.5306,24.8145
13.26.24,0.36293,6.6434,334.5306,25.1367
13.26.24,0.36293,6.6434,334.5306,24.8145
13.26.24,0.36348,6.6434,334.5306,25.1367
13.26.24,0.36348,6.6434,334.5306,24.8145
13.26.25,0.36348,6.6434,334.5306,25.1367
13.26.25,0.36348,6.6434,334.5306,25.1367
13.26.25,0.36348,6.6434,334.5306,24.8145
13.26.26,0.36348,6.6434,334.5306,25.1367
13.26.26,0.36293,6.6434,334.5306,25.1367
13.26.26,0.36348,6.6434,334.5306,24.8145
13.26.27,0.36348,6.6434,334.5306,25.1367
13.26.27,0.36348,6.6434,334.5306,25.1367
13.26.27,0.36293,6.6434,334.5306,24.8145
13.26.28,0.36348,6.6434,334.5306,25.1367
13.26.28,0.36348,6.6434,334.5306,25.1367
13.26.28,0.36348,6.6434,334.5306,25.1367
13.26.28,0.36348,6.6434,334.5306,24.8145
13.26.29,0.36403,6.6434,334.5306,25.1367
13.26.29,0.36348,6.6434,334.5306,25.1367
13.26.29,0.36348,6.6434,334.5306,25.1367
13.26.30,0.36403,6.6434,334.5306,25.1367
