Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.12.39,0.35965,7.2414,345.7128,24.1699
13.12.39,0.35965,7.2414,345.7128,24.1699
13.12.40,0.35965,7.2414,345.7128,24.1699
13.12.40,0.35965,7.2414,345.7128,24.1699
13.12.40,0.35965,7.2414,345.7128,24.1699
13.12.41,0.35965,7.2414,345.7128,24.1699
13.12.41,0.35855,7.2414,345.7128,24.1699
13.12.41,0.35965,7.2414,345.7128,24.1699
13.12.42,0.35965,7.2414,345.7128,24.1699
13.12.42,0.35965,7.2414,345.7128,24.1699
13.12.42,0.3591,7.2414,345.7128,24.1699
13.12.42,0.3591,7.2414,345.7128,24.1699
13.12.43,0.3602,7.2414,345.7128,24.1699
13.12.43,0.35965,7.2414,345.7128,24.1699
13.12.43,0.35965,7.2414,345.7128,24.1699
13.12.44,0.35965,7.2414,345.7128,24.1699
13.12.44,0.35965,7.2414,345.7128,24.1699
13.12.44,0.35965,7.2414,345.7128,24.1699
13.12.45,0.35965,7.2414,345.7128,24.1699
13.12.45,0.3602,7.2414,345.7128,24.1699
13.12.45,0.35965,7.2414,345.7128,24.1699
13.12.46,0.35965,7.2414,345.7128,24.1699
13.12.46,0.35965,7.2414,345.7128,24.1699
13.12.46,0.35965,7.2414,345.7128,24.1699
13.12.46,0.3591,7.2414,345.7128,23.8477
13.12.47,0.3602,7.2414,345.7128,23.8477
13.12.47,0.35965,7.2414,345.7128,23.8477
13.12.47,0.35965,7.2414,345.7128,24.1699
13.12.48,0.35965,7.2414,345.7128,24.1699
13.12.48,0.3591,7.2414,345.7128,24.1699
13.12.48,0.3602,7.2165,345.7128,24.1699
13.12.49,0.35965,7.2414,345.7128,24.1699
13.12.49,0.35965,7.2165,345.7128,23.8477
13.12.49,0.35965,7.2414,345.7128,23.8477
13.12.50,0.3602,7.2414,345.7128,24.1699
13.12.50,0.35965,7.2414,345.7128,24.1699
13.12.50,0.35965,7.2414,345.7128,24.1699
13.12.51,0.35965,7.2414,345.7128,24.1699
13.12.51,0.3602,7.2414,345.7128,24.1699
13.12.51,0.35965,7.2414,345.7128,24.1699
13.12.51,0.35965,7.2414,345.7128,24.1699
13.12.52,0.35965,7.2165,345.7128,24.1699
13.12.52,0.35965,7.2165,345.7128,23.8477
13.12.52,0.3602,7.2165,345.7128,24.1699
13.12.53,0.3602,7.2165,345.7128,24.1699
13.12.53,0.35965,7.2165,345.7128,24.1699
13.12.53,0.35965,7.2165,345.7128,23.8477
13.12.54,0.3602,7.2165,345.7128,24.1699
13.12.54,0.35965,7.2165,345.7128,24.1699
13.12.54,0.3602,7.2165,345.7128,23.8477
13.12.55,0.35965,7.2165,345.7128,24.1699
