Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.28.2,0.36129,6.5977,347.218,24.8145
13.28.2,0.36348,6.5977,344.9408,24.8145
13.28.2,0.36348,6.5977,343.3567,24.8145
13.28.3,0.36403,6.5977,343.3567,24.8145
13.28.3,0.36403,6.5977,343.3567,24.4922
13.28.3,0.36403,6.5977,343.3567,24.8145
13.28.4,0.36403,6.5977,343.3567,24.4922
13.28.4,0.36348,6.5977,343.3567,24.8145
13.28.4,0.36348,6.5977,343.3567,24.8145
13.28.4,0.36348,6.5977,343.3567,24.8145
13.28.5,0.36403,6.5977,344.9408,24.8145
13.28.5,0.36348,6.5977,344.1556,24.8145
13.28.5,0.36348,6.5977,344.1556,24.4922
13.28.6,0.36348,6.5977,344.1556,24.8145
13.28.6,0.36348,6.5977,344.1556,24.8145
13.28.6,0.36348,6.5977,344.1556,24.8145
13.28.7,0.36348,6.5977,344.1556,24.8145
13.28.7,0.36348,6.5977,344.1556,24.8145
13.28.7,0.36348,6.5977,344.1556,24.8145
13.28.8,0.36348,6.5977,344.1556,24.4922
13.28.8,0.36348,6.5977,343.3567,24.4922
13.28.8,0.36348,6.5977,344.1556,24.4922
13.28.8,0.36348,6.5977,342.5437,24.8145
13.28.9,0.36403,6.5977,342.5437,24.4922
13.28.9,0.36403,6.5977,342.5437,24.4922
13.28.9,0.36348,6.5977,342.5437,24.8145
13.28.10,0.36348,6.5977,342.5437,24.4922
13.28.10,0.36348,6.5977,342.5437,24.8145
13.28.10,0.36348,6.5977,342.5437,24.8145
13.28.11,0.36403,6.5977,343.3567,24.4922
13.28.11,0.36348,6.5977,342.5437,24.8145
13.28.11,0.36348,6.5977,342.5437,24.8145
13.28.12,0.36348,6.575,342.5437,24.4922
13.28.12,0.36403,6.5977,342.5437,24.8145
13.28.12,0.36348,6.5977,342.5437,24.8145
13.28.12,0.36403,6.5977,342.5437,24.4922
13.28.13,0.36348,6.5977,343.3567,24.8145
13.28.13,0.36403,6.5977,343.3567,24.8145
13.28.13,0.36403,6.5977,343.3567,24.4922
13.28.14,0.36403,6.5977,343.3567,24.4922
13.28.14,0.36403,6.5977,343.3567,24.4922
13.28.14,0.36403,6.5977,343.3567,24.4922
13.28.15,0.36348,6.5977,343.3567,24.4922
13.28.15,0.36348,6.5977,343.3567,24.8145
13.28.15,0.36348,6.5977,343.3567,24.4922
13.28.16,0.36403,6.5977,343.3567,24.4922
13.28.16,0.36348,6.575,343.3567,24.4922
13.28.16,0.36348,6.5977,343.3567,24.4922
13.28.16,0.36348,6.5977,343.3567,24.4922
13.28.17,0.36348,6.575,343.3567,24.4922
13.28.17,0.36403,6.575,343.3567,24.4922
