Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.8.1,0.35143,7.5995,345.7128,24.4922
13.8.1,0.35362,7.5733,345.7128,24.4922
13.8.1,0.35417,7.5995,345.7128,24.4922
13.8.2,0.35307,7.5733,345.7128,24.4922
13.8.2,0.35362,7.5733,345.7128,24.4922
13.8.2,0.35417,7.5733,345.7128,24.4922
13.8.3,0.35417,7.5733,345.7128,24.4922
13.8.3,0.35417,7.5733,345.7128,24.4922
13.8.3,0.35307,7.5733,345.7128,24.4922
13.8.4,0.35417,7.5733,345.7128,24.4922
13.8.4,0.35417,7.5733,345.7128,24.4922
13.8.4,0.35362,7.5733,345.7128,24.4922
13.8.5,0.35417,7.5733,345.7128,24.4922
13.8.5,0.35307,7.5733,345.7128,24.4922
13.8.5,0.35362,7.5733,345.7128,24.4922
13.8.5,0.35417,7.5733,345.7128,24.1699
13.8.6,0.35362,7.5733,345.7128,24.4922
13.8.6,0.35417,7.5733,345.7128,24.4922
13.8.6,0.35417,7.5733,345.7128,24.1699
13.8.7,0.35472,7.5733,345.7128,24.4922
13.8.7,0.35472,7.5733,345.7128,24.1699
13.8.7,0.35417,7.5733,345.7128,24.4922
13.8.8,0.35362,7.5733,345.7128,24.4922
13.8.8,0.35472,7.5733,345.7128,24.4922
13.8.8,0.35417,7.5733,345.7128,24.4922
13.8.9,0.35472,7.5733,345.7128,24.4922
13.8.9,0.35472,7.5733,345.7128,24.4922
13.8.9,0.35417,7.5733,345.7128,24.4922
13.8.9,0.35417,7.5733,345.7128,24.1699
13.8.10,0.35417,7.5733,345.7128,24.4922
13.8.10,0.35472,7.5733,345.7128,24.1699
13.8.10,0.35472,7.5733,345.7128,24.1699
13.8.11,0.35417,7.5733,345.7128,24.4922
13.8.11,0.35417,7.5733,345.7128,24.4922
13.8.11,0.35417,7.5733,345.7128,24.4922
13.8.12,0.35417,7.5733,345.7128,24.4922
13.8.12,0.35417,7.5733,345.7128,24.4922
13.8.12,0.35417,7.5733,345.7128,24.4922
13.8.13,0.35472,7.5733,345.7128,24.4922
13.8.13,0.35472,7.5733,345.7128,24.1699
13.8.13,0.35472,7.5733,345.7128,24.1699
13.8.13,0.35472,7.5733,345.7128,24.4922
13.8.14,0.35417,7.5733,345.7128,24.4922
13.8.14,0.35472,7.5473,345.7128,24.4922
13.8.14,0.35472,7.5473,345.7128,24.4922
13.8.15,0.35526,7.5733,345.7128,24.4922
13.8.15,0.35472,7.5733,345.7128,24.4922
13.8.15,0.35417,7.5733,345.7128,24.1699
13.8.16,0.35417,7.5733,345.7128,24.4922
13.8.16,0.35472,7.5473,345.7128,24.4922
13.8.16,0.35417,7.5473,345.7128,24.4922
13.8.17,0.35472,7.5473,345.7128,24.4922
13.8.17,0.35417,7.5473,345.7128,24.1699
13.8.17,0.35472,7.5473,345.7128,24.4922
13.8.17,0.35472,7.5473,345.7128,24.4922
13.8.18,0.35472,7.5473,345.7128,24.4922
13.8.18,0.35472,7.5473,345.7128,24.4922
13.8.18,0.35472,7.5473,345.7128,24.4922
13.8.19,0.35472,7.5473,345.7128,24.4922
13.8.19,0.35472,7.5473,345.7128,24.4922
13.8.19,0.35526,7.5473,345.7128,24.4922
13.8.20,0.35472,7.5473,345.7128,24.4922
13.8.20,0.35472,7.5473,345.7128,24.4922
13.8.20,0.35472,7.5473,345.7128,24.4922
13.8.21,0.35472,7.5473,345.7128,24.4922
13.8.21,0.35472,7.5473,345.7128,24.4922
13.8.21,0.35472,7.5473,345.7128,24.4922
13.8.21,0.35526,7.5473,345.7128,24.4922
13.8.22,0.35526,7.5473,345.7128,24.4922
13.8.22,0.35472,7.5473,345.7128,24.4922
13.8.22,0.35526,7.5473,345.7128,24.4922
13.8.23,0.35472,7.5473,345.7128,24.4922
13.8.23,0.35526,7.5473,345.7128,24.4922
13.8.23,0.35526,7.5473,345.7128,24.4922
13.8.24,0.35526,7.5473,345.7128,24.4922
13.8.24,0.35472,7.5473,345.7128,24.4922
13.8.24,0.35526,7.5473,345.7128,24.4922
13.8.25,0.35526,7.5473,345.7128,24.4922
13.8.25,0.35526,7.5473,345.7128,24.4922
13.8.25,0.35526,7.5473,345.7128,24.4922
13.8.25,0.35472,7.5473,345.7128,24.4922
13.8.26,0.35526,7.5473,345.7128,24.4922
13.8.26,0.35581,7.5473,345.7128,24.4922
13.8.26,0.35526,7.5473,345.7128,24.4922
13.8.27,0.35417,7.5473,345.7128,24.4922
13.8.27,0.35472,7.5473,345.7128,24.4922
13.8.27,0.35472,7.5473,345.7128,24.4922
13.8.28,0.35417,7.5473,345.7128,24.4922
13.8.28,0.35526,7.5473,345.7128,24.4922
13.8.28,0.35417,7.5473,345.7128,24.4922
13.8.29,0.35417,7.5473,345.7128,24.4922
13.8.29,0.35417,7.5473,345.7128,24.4922
13.8.29,0.35472,7.5473,345.7128,24.4922
13.8.29,0.35472,7.5473,345.7128,24.4922
13.8.30,0.35472,7.5213,345.7128,24.4922
13.8.30,0.35472,7.5473,345.7128,24.4922
13.8.30,0.35472,7.5473,345.7128,24.4922
13.8.31,0.35472,7.5473,345.7128,24.1699
13.8.31,0.35581,7.5473,345.7128,24.4922
13.8.31,0.35526,7.5473,345.7128,24.4922
13.8.32,0.35526,7.5473,345.7128,24.4922
13.8.32,0.35581,7.5473,345.7128,24.4922
13.8.32,0.35581,7.5473,345.7128,24.1699
13.8.33,0.35526,7.5473,345.7128,24.4922
13.8.33,0.35581,7.5473,345.7128,24.4922
13.8.33,0.35526,7.5213,345.7128,24.4922
13.8.33,0.35581,7.5473,345.7128,24.4922
13.8.34,0.35581,7.5213,345.7128,24.4922
13.8.34,0.35581,7.5473,345.7128,24.4922
13.8.34,0.35581,7.5213,345.7128,24.4922
13.8.35,0.35581,7.5473,345.7128,24.4922
13.8.35,0.35526,7.5473,345.7128,24.4922
13.8.35,0.35581,7.5473,345.7128,24.4922
13.8.36,0.35581,7.5213,345.7128,24.4922
13.8.36,0.35581,7.5213,345.7128,24.4922
13.8.36,0.35581,7.5213,345.7128,24.4922
13.8.37,0.35581,7.5473,345.7128,24.4922
13.8.37,0.35581,7.5213,345.7128,24.4922
13.8.37,0.35581,7.5213,345.7128,24.4922
13.8.37,0.35581,7.5213,345.7128,24.4922
13.8.38,0.35581,7.5213,345.7128,24.4922
13.8.38,0.35581,7.5213,345.7128,24.4922
13.8.38,0.35581,7.5213,345.7128,24.1699
13.8.39,0.35581,7.5213,345.7128,24.4922
13.8.39,0.35581,7.5213,345.7128,24.4922
13.8.39,0.35581,7.5213,345.7128,24.4922
13.8.40,0.35581,7.5213,345.7128,24.4922
13.8.40,0.35581,7.5213,345.7128,24.1699
13.8.40,0.35581,7.5213,345.7128,24.4922
13.8.41,0.35581,7.5213,345.7128,24.4922
13.8.41,0.35581,7.5213,345.7128,24.4922
13.8.41,0.35581,7.5213,345.7128,24.4922
13.8.41,0.35636,7.5213,345.7128,24.1699
13.8.42,0.35636,7.5213,345.7128,24.4922
13.8.42,0.35581,7.5213,345.7128,24.1699
13.8.42,0.35581,7.5213,345.7128,24.1699
13.8.43,0.35581,7.5213,345.7128,24.4922
13.8.43,0.35636,7.5213,345.7128,24.1699
13.8.43,0.35636,7.5213,345.7128,24.1699
13.8.44,0.35581,7.5213,345.7128,24.1699
13.8.44,0.35636,7.5213,345.7128,24.1699
13.8.44,0.35581,7.5213,345.7128,24.4922
13.8.45,0.35636,7.5213,345.7128,24.1699
13.8.45,0.35636,7.5213,345.7128,24.1699
13.8.45,0.35581,7.5213,345.7128,24.4922
13.8.45,0.35636,7.5213,345.7128,24.1699
13.8.46,0.35636,7.5213,345.7128,24.1699
13.8.46,0.35636,7.5213,345.7128,24.1699
13.8.46,0.35636,7.5213,345.7128,24.4922
13.8.47,0.35636,7.5213,345.7128,24.4922
13.8.47,0.35636,7.5213,345.7128,24.4922
13.8.47,0.35636,7.5213,345.7128,24.1699
13.8.48,0.35636,7.5213,345.7128,24.4922
13.8.48,0.35636,7.5213,345.7128,24.1699
13.8.48,0.35636,7.5213,345.7128,24.1699
13.8.49,0.35581,7.5213,345.7128,24.4922
13.8.49,0.35636,7.5213,345.7128,24.4922
13.8.49,0.35636,7.5213,345.7128,24.4922
13.8.49,0.35636,7.5213,345.7128,24.4922
13.8.50,0.35636,7.5213,345.7128,24.4922
13.8.50,0.35636,7.5213,345.7128,24.4922
13.8.50,0.35691,7.5213,345.7128,24.4922
13.8.51,0.35636,7.5213,345.7128,24.4922
13.8.51,0.35636,7.5213,345.7128,24.4922
13.8.51,0.35526,7.5213,345.7128,24.4922
13.8.52,0.35581,7.5213,345.7128,24.4922
13.8.52,0.35581,7.5213,345.7128,24.4922
13.8.52,0.35581,7.5213,345.7128,24.4922
13.8.53,0.35581,7.5213,345.7128,24.4922
13.8.53,0.35581,7.5213,345.7128,24.4922
13.8.53,0.35581,7.5213,345.7128,24.4922
13.8.53,0.35581,7.5213,345.7128,24.4922
13.8.54,0.35636,7.5213,345.7128,24.4922
13.8.54,0.35581,7.5213,345.7128,24.4922
13.8.54,0.35581,7.5213,345.7128,24.4922
13.8.55,0.35581,7.5213,345.7128,24.4922
13.8.55,0.35636,7.5213,345.7128,24.4922
13.8.55,0.35581,7.5213,345.7128,24.4922
13.8.56,0.35636,7.5213,345.7128,24.4922
13.8.56,0.35526,7.5213,345.7128,24.4922
13.8.56,0.35581,7.5213,345.7128,24.4922
13.8.57,0.35581,7.5213,345.7128,24.4922
13.8.57,0.35581,7.5213,345.7128,24.4922
13.8.57,0.35581,7.5213,345.7128,24.4922
13.8.57,0.35581,7.5213,345.7128,24.4922
13.8.58,0.35636,7.5213,345.7128,24.1699
13.8.58,0.35636,7.5213,345.7128,24.4922
13.8.58,0.35636,7.5213,345.7128,24.4922
13.8.59,0.35581,7.5213,345.7128,24.4922
13.8.59,0.35636,7.5213,345.7128,24.4922
13.8.59,0.35636,7.5213,345.7128,24.4922
13.9.0,0.35581,7.5213,345.7128,24.4922
13.9.0,0.35636,7.4954,345.7128,24.1699
13.9.0,0.35581,7.5213,345.7128,24.1699
13.9.1,0.35581,7.4954,345.7128,24.4922
13.9.1,0.35581,7.4954,345.7128,24.4922
13.9.1,0.35691,7.4954,345.7128,24.4922
13.9.1,0.35691,7.4954,345.7128,24.4922
13.9.2,0.35691,7.4954,345.7128,24.4922
13.9.2,0.35691,7.5213,345.7128,24.4922
,0.3552614,7.541195,345.7128,24.440632
