Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.10.2,0.35472,7.4183,344.9408,24.1699
13.10.2,0.35581,7.4183,344.9408,24.1699
13.10.2,0.35636,7.4183,344.9408,24.4922
13.10.3,0.35746,7.4183,344.9408,24.4922
13.10.3,0.35636,7.4183,344.9408,24.1699
13.10.3,0.35581,7.4183,344.9408,24.1699
13.10.4,0.35636,7.4183,344.9408,24.1699
13.10.4,0.35526,7.4183,344.9408,24.1699
13.10.4,0.35636,7.4183,344.9408,24.1699
13.10.4,0.35581,7.4183,344.9408,24.4922
13.10.5,0.35581,7.4183,344.9408,24.4922
13.10.5,0.35636,7.4183,344.9408,24.1699
13.10.5,0.35581,7.4183,344.9408,24.1699
13.10.6,0.35691,7.4183,344.9408,24.4922
13.10.6,0.35691,7.4183,344.9408,24.1699
13.10.6,0.35636,7.4183,344.9408,24.1699
13.10.7,0.35691,7.4183,344.9408,24.1699
13.10.7,0.35636,7.4183,344.9408,24.1699
13.10.7,0.35691,7.4183,344.9408,24.4922
13.10.8,0.35746,7.4183,344.9408,24.1699
13.10.8,0.35691,7.4183,344.9408,24.4922
13.10.8,0.35691,7.4183,344.9408,24.4922
13.10.8,0.35691,7.4183,344.9408,24.4922
13.10.9,0.35691,7.4183,344.9408,24.1699
13.10.9,0.35691,7.4183,344.9408,24.1699
13.10.9,0.35581,7.4183,344.9408,24.4922
13.10.10,0.35472,7.4183,344.9408,24.1699
13.10.10,0.35636,7.4183,344.9408,24.4922
13.10.10,0.35581,7.4183,344.9408,24.1699
13.10.11,0.35636,7.4183,344.9408,24.1699
13.10.11,0.35581,7.4183,344.9408,24.1699
13.10.11,0.35581,7.4183,344.9408,24.1699
13.10.12,0.35581,7.4183,344.9408,24.1699
13.10.12,0.35581,7.4183,344.9408,24.1699
13.10.12,0.35636,7.4183,344.9408,24.4922
13.10.12,0.35581,7.4183,344.9408,24.1699
13.10.13,0.35691,7.4183,344.9408,24.1699
13.10.13,0.35581,7.4183,344.9408,24.1699
13.10.13,0.35636,7.4183,344.9408,24.1699
13.10.14,0.35581,7.4183,344.9408,24.1699
13.10.14,0.35581,7.4183,344.9408,24.4922
13.10.14,0.35526,7.4183,344.9408,24.1699
13.10.15,0.35636,7.4183,344.9408,24.4922
13.10.15,0.35636,7.4183,344.9408,24.4922
13.10.15,0.35636,7.4183,344.9408,24.4922
13.10.15,0.35581,7.4183,344.9408,24.4922
13.10.16,0.35581,7.4183,344.9408,24.1699
13.10.16,0.35746,7.4183,344.9408,24.1699
13.10.16,0.35691,7.4183,344.9408,24.1699
13.10.17,0.35691,7.4183,344.9408,24.4922
13.10.17,0.35691,7.4183,344.9408,24.4922
13.10.17,0.35581,7.4183,344.9408,24.4922
13.10.18,0.35691,7.4183,344.9408,24.4922
13.10.18,0.35691,7.3927,344.9408,24.4922
13.10.18,0.35691,7.4183,344.9408,24.1699
13.10.19,0.35691,7.3927,344.9408,24.4922
13.10.19,0.35691,7.4183,344.9408,24.4922
13.10.19,0.35691,7.4183,344.9408,24.4922
13.10.20,0.35691,7.3927,344.9408,24.4922
13.10.20,0.35636,7.3927,344.9408,24.4922
13.10.20,0.35691,7.3927,344.9408,24.4922
13.10.20,0.35636,7.4183,344.9408,24.4922
13.10.21,0.35636,7.3927,344.9408,24.4922
13.10.21,0.35691,7.3927,344.9408,24.4922
13.10.21,0.35746,7.4183,344.9408,24.1699
13.10.22,0.35691,7.3927,344.9408,24.4922
13.10.22,0.35691,7.3927,344.9408,24.4922
13.10.22,0.35691,7.3927,344.9408,24.4922
13.10.23,0.35691,7.3927,344.9408,24.4922
13.10.23,0.35636,7.3927,344.9408,24.4922
13.10.23,0.35636,7.3927,344.9408,24.4922
13.10.24,0.35691,7.3927,344.9408,24.1699
13.10.24,0.35636,7.3927,344.9408,24.4922
13.10.24,0.35526,7.3927,344.9408,24.4922
13.10.24,0.35636,7.3927,344.9408,24.1699
13.10.25,0.35636,7.3927,344.9408,24.1699
13.10.25,0.35636,7.3927,344.1556,24.4922
13.10.25,0.35636,7.3927,344.9408,24.1699
13.10.26,0.35691,7.3927,344.9408,24.1699
13.10.26,0.35746,7.3927,344.9408,24.4922
13.10.26,0.35581,7.3927,344.9408,24.4922
13.10.27,0.35581,7.3927,344.9408,24.4922
13.10.27,0.35636,7.3927,344.9408,24.4922
13.10.27,0.35636,7.3927,344.9408,24.1699
13.10.27,0.35636,7.3927,344.9408,24.4922
13.10.28,0.35636,7.3927,344.1556,24.4922
13.10.28,0.35636,7.3927,344.9408,24.4922
13.10.28,0.35636,7.3927,344.9408,24.1699
13.10.29,0.35636,7.3927,344.9408,24.4922
13.10.29,0.35636,7.3927,344.9408,24.1699
13.10.29,0.35636,7.3927,344.9408,24.4922
13.10.30,0.35526,7.3927,344.1556,24.1699
13.10.30,0.35636,7.3927,344.1556,24.4922
13.10.30,0.35636,7.3927,344.1556,24.4922
13.10.31,0.35636,7.3927,344.9408,24.4922
13.10.31,0.35636,7.3927,344.1556,24.4922
13.10.31,0.35691,7.3927,344.1556,24.1699
13.10.31,0.35691,7.3927,344.1556,24.4922
13.10.32,0.35746,7.3927,344.1556,24.4922
13.10.32,0.35746,7.3927,344.9408,24.4922
13.10.32,0.35746,7.3927,344.1556,24.4922
13.10.33,0.35746,7.3927,344.1556,24.4922
13.10.33,0.35691,7.3927,344.1556,24.4922
13.10.33,0.35746,7.3927,344.9408,24.4922
13.10.34,0.35746,7.3927,344.1556,24.4922
13.10.34,0.358,7.3927,344.1556,24.4922
13.10.34,0.35746,7.3927,344.1556,24.1699
13.10.35,0.35746,7.3673,344.1556,24.4922
13.10.35,0.35746,7.3927,344.1556,24.4922
13.10.35,0.35746,7.3673,344.1556,24.1699
13.10.35,0.35691,7.3927,344.1556,24.4922
13.10.36,0.35636,7.3927,344.1556,24.4922
13.10.36,0.35691,7.3673,344.1556,24.1699
13.10.36,0.35746,7.3927,344.1556,24.4922
13.10.37,0.35691,7.3927,344.1556,24.1699
13.10.37,0.35746,7.3927,344.1556,24.4922
13.10.37,0.35746,7.3927,344.1556,24.4922
13.10.38,0.35746,7.3927,344.1556,24.1699
13.10.38,0.358,7.3927,344.1556,24.4922
13.10.38,0.35746,7.3673,344.1556,24.4922
13.10.39,0.358,7.3927,344.1556,24.4922
13.10.39,0.35746,7.3673,344.1556,24.4922
13.10.39,0.35746,7.3673,344.1556,24.1699
13.10.39,0.35691,7.3673,344.1556,24.1699
13.10.40,0.35691,7.3673,344.1556,24.4922
13.10.40,0.35691,7.3927,344.1556,24.1699
13.10.40,0.35636,7.3673,344.1556,24.4922
13.10.41,0.35691,7.3673,344.1556,24.4922
13.10.41,0.35691,7.3673,344.1556,24.4922
13.10.41,0.35691,7.3673,344.1556,24.1699
13.10.42,0.35691,7.3673,344.1556,24.4922
13.10.42,0.35691,7.3673,344.1556,24.4922
13.10.42,0.35691,7.3673,344.1556,24.1699
13.10.43,0.35691,7.3673,344.1556,24.4922
13.10.43,0.35691,7.3673,344.1556,24.1699
13.10.43,0.35636,7.3673,344.1556,24.4922
13.10.43,0.35691,7.3673,344.1556,24.4922
13.10.44,0.35691,7.3673,344.1556,24.4922
13.10.44,0.35691,7.3673,344.1556,24.4922
13.10.44,0.35746,7.3673,344.1556,24.4922
13.10.45,0.35691,7.3673,344.1556,24.4922
13.10.45,0.35691,7.3673,344.1556,24.4922
13.10.45,0.35691,7.3673,344.1556,24.4922
13.10.46,0.35691,7.3673,344.1556,24.1699
13.10.46,0.35691,7.3673,344.1556,24.4922
13.10.46,0.35691,7.3673,344.1556,24.1699
13.10.47,0.35691,7.3673,344.1556,24.4922
13.10.47,0.35691,7.3673,344.1556,24.1699
13.10.47,0.35691,7.3673,344.1556,24.4922
13.10.47,0.35691,7.3673,344.1556,24.1699
13.10.48,0.35691,7.3673,344.1556,24.1699
13.10.48,0.35691,7.3673,344.1556,24.4922
13.10.48,0.35691,7.3673,344.1556,24.1699
13.10.49,0.35691,7.3673,344.1556,24.4922
13.10.49,0.35746,7.3673,344.1556,24.4922
13.10.49,0.35691,7.3673,344.1556,24.4922
13.10.50,0.35691,7.3673,344.1556,24.4922
13.10.50,0.35691,7.3673,344.1556,24.1699
13.10.50,0.35691,7.3673,344.1556,24.1699
13.10.51,0.35691,7.3673,344.1556,24.1699
13.10.51,0.35691,7.3673,344.1556,24.4922
13.10.51,0.35691,7.3673,344.1556,24.4922
13.10.51,0.35746,7.3673,344.1556,24.4922
13.10.52,0.35691,7.3673,344.1556,24.1699
13.10.52,0.35691,7.3673,344.1556,24.4922
13.10.52,0.35691,7.3673,344.1556,24.4922
13.10.53,0.35691,7.3673,344.1556,24.1699
13.10.53,0.35691,7.3673,344.1556,24.4922
13.10.53,0.35746,7.3673,344.1556,24.1699
13.10.54,0.35746,7.3673,344.1556,24.4922
13.10.54,0.35746,7.3673,344.1556,24.4922
13.10.54,0.358,7.3673,344.1556,24.4922
13.10.54,0.35746,7.3673,344.1556,24.4922
13.10.55,0.358,7.3673,344.1556,24.4922
13.10.55,0.35636,7.3673,344.1556,24.4922
13.10.55,0.358,7.3673,344.1556,24.4922
13.10.56,0.358,7.3673,344.1556,24.4922
13.10.56,0.358,7.3673,344.1556,24.4922
13.10.56,0.35746,7.3673,344.1556,24.4922
13.10.57,0.35855,7.3673,344.1556,24.4922
13.10.57,0.35855,7.3673,344.1556,24.4922
13.10.57,0.35855,7.3673,344.1556,24.4922
13.11.0,0.35855,7.3673,344.1556,24.4922
13.11.0,0.358,7.3673,344.1556,24.4922
13.11.1,0.35855,7.3673,344.1556,24.4922
13.11.1,0.35855,7.3673,344.1556,24.4922
13.11.1,0.3591,7.3419,344.1556,24.4922
13.11.2,0.3591,7.3419,344.1556,24.4922
13.11.2,0.358,7.3419,344.1556,24.4922
13.11.2,0.35855,7.3673,344.1556,24.4922
13.11.3,0.35855,7.3419,344.1556,24.4922
13.11.3,0.35855,7.3419,344.1556,24.4922
13.11.3,0.35855,7.3419,344.1556,24.4922
13.11.3,0.358,7.3673,344.1556,24.4922
13.11.4,0.358,7.3419,344.1556,24.4922
13.11.4,0.35965,7.3419,344.1556,24.4922
13.11.4,0.35746,7.3419,344.1556,24.4922
13.11.5,0.35855,7.3419,344.1556,24.1699
13.11.5,0.358,7.3419,344.1556,24.4922
13.11.5,0.35855,7.3419,344.1556,24.4922
,0.35692245,7.388186,344.516792,24.382618
