Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.14.1,0.358,7.1669,345.7128,24.1699
13.14.2,0.3591,7.1669,344.9408,24.1699
13.14.2,0.35965,7.1669,344.9408,24.1699
13.14.2,0.3602,7.1669,345.7128,24.1699
13.14.3,0.35965,7.1669,344.9408,24.1699
13.14.3,0.35965,7.1669,345.7128,24.1699
13.14.3,0.3602,7.1669,344.9408,24.1699
13.14.4,0.35965,7.1669,344.9408,24.1699
13.14.4,0.35965,7.1669,344.9408,24.1699
13.14.4,0.35965,7.1669,344.9408,24.1699
13.14.5,0.3602,7.1669,345.7128,24.1699
13.14.5,0.35965,7.1669,345.7128,24.1699
13.14.5,0.35965,7.1669,345.7128,24.1699
13.14.5,0.3602,7.1669,344.9408,24.1699
13.14.6,0.3602,7.1669,344.9408,24.1699
13.14.6,0.3602,7.1669,344.9408,24.1699
13.14.6,0.3602,7.1669,345.7128,24.1699
13.14.7,0.35965,7.1669,345.7128,24.1699
13.14.7,0.3602,7.1669,344.9408,24.1699
13.14.7,0.3602,7.1669,344.9408,24.1699
13.14.8,0.3602,7.1669,344.9408,24.1699
13.14.8,0.36074,7.1669,345.7128,24.1699
13.14.8,0.3602,7.1669,345.7128,24.1699
13.14.9,0.3602,7.1669,345.7128,24.1699
13.14.9,0.3602,7.1669,345.7128,24.1699
13.14.9,0.3602,7.1669,345.7128,24.1699
13.14.9,0.3602,7.1669,344.9408,24.1699
13.14.10,0.3602,7.1669,344.9408,24.1699
13.14.10,0.3602,7.1669,345.7128,24.1699
13.14.10,0.3602,7.1669,345.7128,24.1699
13.14.11,0.3602,7.1669,344.9408,24.4922
13.14.11,0.3602,7.1669,345.7128,24.1699
13.14.11,0.35965,7.1669,345.7128,24.1699
13.14.12,0.3602,7.1669,344.9408,24.1699
13.14.12,0.36074,7.1669,345.7128,24.1699
13.14.12,0.3602,7.1669,344.9408,24.1699
13.14.13,0.3602,7.1669,345.7128,24.1699
13.14.13,0.3602,7.1669,345.7128,24.1699
13.14.13,0.3602,7.1669,345.7128,24.1699
13.14.13,0.3602,7.1669,345.7128,24.1699
13.14.14,0.3602,7.1669,345.7128,24.1699
13.14.14,0.3602,7.1669,345.7128,24.4922
13.14.14,0.35965,7.1669,345.7128,24.4922
13.14.15,0.3602,7.1422,345.7128,24.4922
13.14.15,0.36074,7.1669,345.7128,24.1699
13.14.15,0.35965,7.1669,345.7128,24.1699
13.14.16,0.3602,7.1669,345.7128,24.4922
13.14.16,0.3602,7.1669,345.7128,24.4922
13.14.16,0.3602,7.1669,345.7128,24.1699
