Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.20.1,0.3602,6.9002,343.3567,24.8145
13.20.1,0.36129,6.9002,343.3567,24.8145
13.20.2,0.36129,6.9002,343.3567,24.8145
13.20.2,0.36293,6.9002,343.3567,24.8145
13.20.2,0.36074,6.9002,343.3567,24.8145
13.20.2,0.36184,6.9002,343.3567,24.8145
13.20.3,0.36239,6.9002,343.3567,24.8145
13.20.3,0.36074,6.9002,343.3567,24.8145
13.20.3,0.36129,6.9002,343.3567,24.8145
13.20.4,0.36184,6.9002,343.3567,24.4922
13.20.4,0.36184,6.9002,343.3567,24.8145
13.20.4,0.36184,6.9002,343.3567,24.8145
13.20.5,0.36129,6.9002,343.3567,24.4922
13.20.5,0.36184,6.9002,343.3567,24.8145
13.20.5,0.36129,6.9002,343.3567,24.8145
13.20.6,0.36184,6.9002,343.3567,24.4922
13.20.6,0.36184,6.9002,343.3567,24.8145
13.20.6,0.36184,6.9002,343.3567,24.4922
13.20.6,0.36184,6.9002,343.3567,24.8145
13.20.7,0.36184,6.9002,344.1556,24.4922
13.20.7,0.36184,6.9002,343.3567,24.8145
13.20.7,0.36184,6.9002,343.3567,24.4922
13.20.8,0.36129,6.9002,343.3567,24.4922
13.20.8,0.36184,6.9002,343.3567,24.4922
13.20.8,0.36239,6.9002,343.3567,24.8145
13.20.9,0.36184,6.9002,343.3567,24.4922
13.20.9,0.36184,6.9002,343.3567,24.4922
13.20.9,0.36184,6.9002,343.3567,24.4922
13.20.10,0.36129,6.9002,343.3567,24.8145
13.20.10,0.36184,6.9002,343.3567,24.8145
13.20.10,0.36184,6.9002,343.3567,24.4922
13.20.10,0.36129,6.9002,343.3567,24.8145
13.20.11,0.36184,6.9002,343.3567,24.8145
13.20.11,0.36184,6.9002,343.3567,24.4922
13.20.11,0.36184,6.9002,343.3567,24.4922
13.20.12,0.36129,6.9002,343.3567,24.4922
13.20.12,0.36184,6.9002,343.3567,24.8145
13.20.12,0.36184,6.9002,343.3567,24.8145
13.20.13,0.36239,6.9002,343.3567,24.8145
13.20.13,0.36239,6.9002,343.3567,24.8145
13.20.13,0.36184,6.9002,343.3567,24.8145
13.20.14,0.36184,6.9002,343.3567,24.4922
13.20.14,0.36074,6.9002,343.3567,24.8145
13.20.14,0.36184,6.9002,343.3567,24.4922
13.20.14,0.36129,6.9002,343.3567,24.8145
13.20.15,0.36184,6.9002,343.3567,24.8145
