Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.24.1,0.36074,6.6894,335.4882,24.4922
13.24.1,0.36184,6.6894,335.4882,24.4922
13.24.2,0.36239,6.7125,335.4882,24.4922
13.24.2,0.36184,6.6894,335.4882,24.4922
13.24.2,0.36293,6.7125,335.4882,24.4922
13.24.2,0.36293,6.6894,335.4882,24.8145
13.24.3,0.36293,6.6894,335.4882,24.4922
13.24.3,0.36239,6.6894,335.4882,24.4922
13.24.3,0.36239,6.6894,335.4882,24.4922
13.24.4,0.36293,6.6894,335.4882,24.4922
13.24.4,0.36293,6.6894,335.4882,24.4922
13.24.4,0.36293,6.6894,335.4882,24.4922
13.24.5,0.36293,6.6894,335.4882,24.4922
13.24.5,0.36239,6.6894,335.4882,24.4922
13.24.5,0.36293,6.6894,335.4882,24.4922
13.24.6,0.36293,6.6894,335.4882,24.4922
13.24.6,0.36239,6.6894,336.4278,24.4922
13.24.6,0.36293,6.6894,336.4278,24.4922
13.24.6,0.36239,6.6894,336.4278,24.4922
13.24.7,0.36293,6.6894,336.4278,24.4922
13.24.7,0.36293,6.6894,336.4278,24.4922
13.24.7,0.36239,6.6894,336.4278,24.4922
13.24.8,0.36293,6.6894,336.4278,24.4922
13.24.8,0.36239,6.6894,336.4278,24.4922
13.24.8,0.36239,6.6894,336.4278,24.4922
13.24.9,0.36293,6.6894,336.4278,24.4922
13.24.9,0.36293,6.6894,336.4278,24.4922
13.24.9,0.36293,6.6894,336.4278,24.4922
13.24.10,0.36239,6.6894,336.4278,24.4922
13.24.10,0.36293,6.6894,336.4278,24.4922
13.24.10,0.36293,6.6894,336.4278,24.4922
13.24.10,0.36293,6.6894,336.4278,24.4922
13.24.11,0.36293,6.6894,336.4278,24.4922
13.24.11,0.36293,6.6894,336.4278,24.4922
13.24.11,0.36293,6.6894,336.4278,24.4922
13.24.12,0.36293,6.6894,336.4278,24.4922
13.24.12,0.36293,6.6894,336.4278,24.4922
13.24.12,0.36293,6.6894,336.4278,24.4922
13.24.13,0.36239,6.6894,336.4278,24.4922
13.24.13,0.36293,6.6894,336.4278,24.4922
13.24.13,0.36293,6.6894,336.4278,24.4922
13.24.14,0.36239,6.6894,336.4278,24.4922
