Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
12.52.1,0.32787,9.123,355.8989,25.7812
12.52.1,0.32897,9.123,355.8989,25.7812
12.52.1,0.32952,9.123,355.8989,25.7812
12.52.2,0.32897,9.123,355.8989,25.7812
12.52.2,0.32952,9.123,355.8989,25.7812
12.52.2,0.32952,9.123,355.8989,25.7812
12.52.3,0.33006,9.123,355.8989,25.7812
12.52.3,0.33006,9.123,355.8989,25.7812
12.52.3,0.32952,9.123,355.8989,25.7812
12.52.4,0.33006,9.123,355.8989,25.7812
12.52.4,0.32952,9.123,355.8989,25.7812
12.52.4,0.33061,9.123,355.8989,25.7812
12.52.4,0.33061,9.123,355.8989,25.7812
12.52.5,0.33006,9.123,355.8989,25.7812
12.52.5,0.33061,9.123,355.8989,25.7812
12.52.5,0.33116,9.123,355.8989,25.7812
12.52.6,0.33116,9.123,355.8989,25.7812
12.52.6,0.33116,9.123,355.8989,25.7812
12.52.6,0.33006,9.123,355.8989,25.459
12.52.7,0.33116,9.123,355.8989,25.7812
12.52.7,0.33171,9.123,355.8989,25.7812
12.52.7,0.33225,9.123,355.8989,25.7812
12.52.8,0.33171,9.123,355.8989,25.7812
12.52.8,0.33116,9.123,355.8989,25.7812
12.52.8,0.33171,9.123,355.8989,25.7812
12.52.8,0.33225,9.123,355.8989,25.7812
12.52.9,0.33225,9.123,355.8989,25.7812
12.52.9,0.33225,9.123,355.8989,25.7812
12.52.9,0.33171,9.123,355.8989,25.7812
12.52.10,0.33171,9.123,355.8989,25.7812
12.52.10,0.33225,9.123,355.8989,25.7812
12.52.10,0.33225,9.123,355.8989,25.7812
12.52.11,0.33171,9.123,355.8989,25.7812
12.52.11,0.3328,9.123,355.8989,25.7812
12.52.11,0.33225,9.123,355.8989,25.7812
12.52.12,0.3328,9.123,355.8989,25.7812
12.52.12,0.33335,9.123,355.8989,25.7812
12.52.12,0.33225,9.123,355.8989,25.7812
12.52.12,0.3328,9.123,355.8989,25.7812
12.52.13,0.33335,9.123,355.8989,25.7812
12.52.13,0.33225,9.123,355.8989,25.7812
12.52.13,0.33335,9.123,355.8989,25.7812
12.52.14,0.33225,9.123,355.8989,25.7812
12.52.14,0.33335,9.123,355.8989,25.7812
12.52.14,0.33335,9.123,355.8989,25.7812
12.52.15,0.33335,9.123,355.8989,25.7812
12.52.15,0.33335,9.123,355.8989,25.7812
12.52.15,0.33335,9.123,355.8989,25.7812
12.52.16,0.3339,9.123,355.8989,25.7812
12.52.16,0.3339,9.123,355.8989,25.7812
12.52.16,0.3339,9.123,355.8989,25.7812
12.52.17,0.3339,9.123,355.8989,25.7812
12.52.17,0.33335,9.123,355.8989,25.7812
12.52.17,0.3339,9.123,355.8989,25.7812
12.52.17,0.33335,9.123,355.8989,25.7812
12.52.18,0.3339,9.123,355.8989,25.7812
12.52.18,0.3339,9.123,355.8989,25.7812
12.52.18,0.3339,9.123,355.8989,25.7812
12.52.19,0.33445,9.123,355.8989,25.7812
12.52.19,0.33445,9.123,355.8989,25.7812
12.52.19,0.33445,9.0916,355.8989,25.7812
12.52.20,0.33499,9.123,355.8989,25.7812
12.52.20,0.33445,9.123,355.8989,25.7812
12.52.20,0.33445,9.123,355.8989,25.7812
12.52.21,0.33445,9.123,355.8989,25.7812
12.52.21,0.33445,9.123,355.8989,25.7812
12.52.21,0.33499,9.0916,355.8989,25.7812
12.52.21,0.33499,9.123,355.8989,25.7812
12.52.22,0.33445,9.0916,355.8989,25.7812
12.52.22,0.33499,9.123,355.8989,25.7812
12.52.22,0.33499,9.123,355.8989,25.7812
12.52.23,0.33445,9.0916,355.8989,25.7812
12.52.23,0.33554,9.0916,355.8989,25.7812
12.52.23,0.33554,9.0916,355.8989,25.7812
12.52.24,0.33554,9.123,355.8989,25.7812
12.52.24,0.33554,9.0916,355.8989,25.7812
12.52.24,0.3339,9.0916,355.8989,25.7812
12.52.25,0.33554,9.0916,355.8989,25.7812
12.52.25,0.33609,9.0916,355.8989,25.7812
12.52.25,0.33554,9.0916,355.8989,25.7812
12.52.25,0.33609,9.0916,355.8989,25.7812
12.52.26,0.33499,9.0916,355.8989,25.7812
12.52.26,0.33554,9.0916,355.8989,25.7812
12.52.26,0.33609,9.0916,355.8989,25.7812
12.52.27,0.33609,9.0916,355.8989,25.7812
12.52.27,0.33664,9.0916,355.8989,25.7812
12.52.27,0.33609,9.0916,355.8989,25.7812
12.52.28,0.33664,9.0916,355.8989,25.7812
12.52.28,0.33664,9.0916,355.8989,25.7812
12.52.28,0.33664,9.0916,355.8989,26.1035
12.52.29,0.33664,9.0916,355.8989,25.7812
12.52.29,0.33609,9.0916,355.8989,25.7812
12.52.29,0.33664,9.0916,355.8989,25.7812
12.52.29,0.33719,9.0916,355.8989,25.7812
12.52.30,0.33664,9.0916,355.8989,25.7812
12.52.30,0.33719,9.0916,355.8989,25.7812
12.52.30,0.33609,9.0916,355.8989,25.7812
12.52.31,0.33664,9.0916,355.8989,25.7812
12.52.31,0.33773,9.0916,355.8989,25.7812
12.52.31,0.33719,9.0916,355.8989,25.7812
12.52.32,0.33773,9.0916,355.8989,26.1035
12.52.32,0.33719,9.0916,355.8989,25.7812
12.52.32,0.33719,9.0916,355.8989,25.7812
12.52.33,0.33773,9.0916,355.8989,25.7812
12.52.33,0.33773,9.0916,355.8989,25.7812
12.52.33,0.33719,9.0916,355.8989,25.7812
12.52.33,0.33719,9.0916,355.8989,25.7812
12.52.34,0.33773,9.0916,355.8989,25.7812
12.52.34,0.33773,9.0916,355.8989,25.7812
12.52.34,0.33773,9.0916,355.8989,25.7812
12.52.35,0.33719,9.0916,355.8989,25.7812
12.52.35,0.33773,9.0916,355.8989,25.7812
12.52.35,0.33773,9.0916,355.8989,25.7812
12.52.36,0.33828,9.0916,355.8989,25.7812
12.52.36,0.33773,9.0916,355.8989,25.7812
12.52.36,0.33773,9.0916,355.8989,25.7812
12.52.37,0.33828,9.0916,355.8989,25.7812
12.52.37,0.33773,9.0916,355.8989,25.7812
12.52.37,0.33773,9.0916,355.8989,25.7812
12.52.37,0.33828,9.0916,355.8989,25.7812
12.52.38,0.33773,9.0916,355.8989,25.7812
12.52.38,0.33828,9.0916,355.8989,25.7812
12.52.38,0.33828,9.0916,355.8989,25.7812
12.52.39,0.33828,9.0916,355.8989,25.7812
12.52.39,0.33883,9.0916,355.8989,25.7812
12.52.39,0.33828,9.0916,355.8989,25.7812
12.52.40,0.33828,9.0916,355.8989,25.7812
12.52.40,0.33828,9.0916,355.8989,25.7812
12.52.40,0.33883,9.0916,355.8989,25.7812
12.52.41,0.33883,9.0916,355.8989,25.7812
12.52.41,0.33828,9.0916,355.8989,25.7812
12.52.41,0.33883,9.0916,355.8989,25.7812
12.52.41,0.33883,9.0916,355.8989,25.7812
12.52.42,0.33883,9.0603,355.8989,25.7812
12.52.42,0.33883,9.0603,355.8989,25.459
12.52.42,0.33883,9.0916,355.8989,25.7812
12.52.43,0.33938,9.0603,355.8989,25.7812
12.52.43,0.33883,9.0603,355.8989,25.7812
12.52.43,0.33883,9.0603,355.8989,25.7812
12.52.44,0.33883,9.0603,355.8989,26.1035
12.52.44,0.33883,9.0916,355.8989,25.7812
12.52.44,0.33883,9.0603,355.8989,25.7812
12.52.45,0.33938,9.0603,355.8989,25.7812
12.52.45,0.33938,9.0603,355.8989,25.7812
12.52.45,0.33938,9.0603,355.8989,25.7812
12.52.45,0.33938,9.0603,355.8989,25.7812
12.52.46,0.33938,9.0603,355.8989,25.7812
12.52.46,0.33938,9.0603,355.8989,25.7812
12.52.46,0.33938,9.0603,355.8989,25.7812
12.52.47,0.33828,9.0603,355.8989,25.7812
12.52.47,0.33938,9.0603,355.8989,25.7812
12.52.47,0.33938,9.0916,355.8989,25.7812
12.52.48,0.33938,9.0603,355.8989,25.7812
12.52.48,0.33938,9.0603,355.8989,25.7812
12.52.48,0.33938,9.0603,355.8989,25.7812
12.52.49,0.33938,9.0603,355.8989,25.7812
12.52.49,0.33992,9.0603,355.8989,25.7812
12.52.49,0.34047,9.0603,355.8989,25.7812
12.52.49,0.34047,9.0603,355.8989,25.7812
12.52.50,0.33938,9.0603,355.8989,25.7812
12.52.50,0.33992,9.0603,355.8989,25.7812
12.52.50,0.33992,9.0603,355.8989,25.7812
12.52.51,0.34047,9.0603,355.8989,25.7812
12.52.51,0.33992,9.0603,355.8989,25.7812
12.52.51,0.33938,9.0603,355.8989,25.7812
12.52.52,0.33992,9.0603,355.8989,25.7812
12.52.52,0.34047,9.0603,355.8989,25.7812
12.52.52,0.34047,9.0603,355.8989,25.7812
12.52.53,0.34047,9.0603,355.8989,25.7812
12.52.53,0.33938,9.0603,355.8989,25.7812
12.52.53,0.34047,9.0603,355.8989,25.7812
12.52.53,0.34047,9.0603,355.8989,25.7812
12.52.54,0.34047,9.0603,355.8989,25.7812
12.52.54,0.34047,9.0603,355.8989,25.7812
12.52.54,0.33992,9.0603,355.8989,25.7812
12.52.55,0.34102,9.0603,355.8989,25.7812
12.52.55,0.34047,9.0603,355.8989,25.7812
12.52.55,0.34102,9.0603,355.2919,25.7812
12.52.56,0.34047,9.0603,355.8989,25.7812
12.52.56,0.34047,9.0603,355.8989,25.7812
12.52.56,0.34047,9.0603,355.8989,25.7812
12.52.57,0.34102,9.0603,355.2919,25.7812
12.52.57,0.34102,9.0603,355.2919,25.7812
12.52.57,0.34047,9.0603,355.8989,25.7812
12.52.57,0.34047,9.0603,355.8989,25.7812
12.52.58,0.34102,9.0603,355.8989,25.7812
12.52.58,0.34102,9.0603,355.8989,25.7812
12.52.58,0.34102,9.0603,355.8989,25.7812
12.52.59,0.34102,9.0603,355.8989,26.1035
12.52.59,0.34102,9.0603,355.8989,25.7812
12.52.59,0.34102,9.0603,355.8989,25.7812
12.53.0,0.34157,9.0603,355.8989,25.7812
12.53.0,0.34157,9.0603,355.8989,26.1035
12.53.0,0.34102,9.0603,355.2919,25.7812
12.53.1,0.34102,9.0603,355.2919,25.7812
12.53.1,0.34102,9.0603,355.2919,25.7812
12.53.1,0.34102,9.0603,355.2919,25.7812
12.53.1,0.34157,9.0603,355.8989,25.7812
12.53.2,0.34102,9.0603,355.2919,25.7812
12.53.2,0.34157,9.0603,355.8989,25.7812
,0.33642655,9.092417,355.87462,25.7860355
