Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.30.2,0.36239,6.5524,350.0829,24.4922
13.30.2,0.36348,6.575,354.0497,24.4922
13.30.2,0.36403,6.5524,359.3578,24.4922
13.30.3,0.36403,6.575,355.8989,24.4922
13.30.3,0.36458,6.5524,357.086,24.4922
13.30.3,0.36403,6.5524,358.8022,24.4922
13.30.3,0.36458,6.5524,354.0497,24.4922
13.30.4,0.36403,6.5524,355.2919,24.4922
13.30.4,0.36403,6.5524,356.4969,24.4922
13.30.4,0.36348,6.5524,356.4969,24.4922
13.30.5,0.36403,6.5524,355.8989,24.4922
13.30.5,0.36458,6.5524,355.8989,24.4922
13.30.5,0.36403,6.5524,355.8989,24.4922
13.30.6,0.36403,6.5524,355.8989,24.4922
13.30.6,0.36403,6.5524,355.8989,24.4922
13.30.6,0.36403,6.5524,355.8989,24.4922
13.30.7,0.36403,6.5524,355.8989,24.4922
13.30.7,0.36403,6.5524,356.4969,24.4922
13.30.7,0.36403,6.5524,356.4969,24.4922
13.30.7,0.36403,6.5524,356.4969,24.4922
13.30.8,0.36458,6.5524,356.4969,24.4922
13.30.8,0.36458,6.5524,355.8989,24.4922
13.30.8,0.36403,6.5524,355.8989,24.4922
13.30.9,0.36458,6.5524,355.8989,24.4922
13.30.9,0.36458,6.5524,355.8989,24.4922
13.30.9,0.36458,6.5524,355.8989,24.4922
13.30.10,0.36458,6.5524,355.8989,24.4922
13.30.10,0.36403,6.5524,355.8989,24.4922
13.30.10,0.36458,6.5524,355.8989,24.4922
13.30.11,0.36458,6.5524,356.4969,24.4922
13.30.11,0.36458,6.5524,356.4969,24.4922
13.30.11,0.36458,6.5524,353.4142,24.4922
13.30.11,0.36403,6.5524,353.4142,24.4922
13.30.12,0.36458,6.5524,352.7688,24.4922
13.30.12,0.36403,6.5524,353.4142,24.4922
13.30.12,0.36458,6.5524,352.7688,24.1699
13.30.13,0.36403,6.5524,352.7688,24.4922
13.30.13,0.36403,6.5524,352.7688,24.4922
13.30.13,0.36403,6.5524,352.7688,24.4922
13.30.14,0.36403,6.5524,352.7688,24.4922
13.30.14,0.36403,6.5524,352.1132,24.1699
13.30.14,0.36403,6.5524,352.7688,24.4922
13.30.15,0.36458,6.5524,352.1132,24.4922
13.30.15,0.36403,6.5524,352.1132,24.4922
13.30.15,0.36403,6.5524,352.1132,24.4922
13.30.16,0.36403,6.5524,352.1132,24.4922
13.30.16,0.36403,6.5524,352.1132,24.4922
13.30.16,0.36403,6.5524,352.1132,24.4922
13.30.16,0.36403,6.5524,352.1132,24.4922
13.30.17,0.36403,6.5524,351.4472,24.4922
13.30.17,0.36513,6.5524,352.1132,24.4922
13.30.17,0.36403,6.5524,351.4472,24.4922
13.30.18,0.36458,6.5524,351.4472,24.4922
13.30.18,0.36403,6.5524,352.1132,24.4922
13.30.18,0.36458,6.5524,352.1132,24.4922
13.30.19,0.36403,6.5524,352.1132,24.4922
13.30.19,0.36403,6.5524,352.1132,24.4922
13.30.19,0.36403,6.5524,352.1132,24.4922
13.30.20,0.36458,6.5524,352.1132,24.4922
13.30.20,0.36458,6.5524,351.4472,24.4922
13.30.20,0.36458,6.5524,352.7688,24.4922
13.30.20,0.36458,6.5524,352.7688,24.4922
13.30.21,0.36458,6.5524,352.1132,24.4922
13.30.21,0.36458,6.5524,352.1132,24.4922
13.30.21,0.36458,6.5524,352.1132,24.4922
13.30.22,0.36458,6.5524,352.1132,24.1699
13.30.22,0.36403,6.5524,351.4472,24.4922
13.30.22,0.36403,6.5524,352.1132,24.4922
13.30.23,0.36458,6.5524,352.1132,24.4922
13.30.23,0.36458,6.5524,352.1132,24.4922
13.30.23,0.36403,6.5524,352.1132,24.4922
13.30.24,0.36403,6.5524,352.1132,24.4922
13.30.24,0.36403,6.5524,351.4472,24.4922
13.30.24,0.36403,6.5524,352.1132,24.4922
13.30.24,0.36403,6.5524,351.4472,24.4922
13.30.25,0.36458,6.5524,352.1132,24.4922
13.30.25,0.36458,6.5524,352.1132,24.4922
13.30.25,0.36458,6.5524,352.1132,24.4922
13.30.26,0.36458,6.5524,352.1132,24.4922
13.30.26,0.36403,6.5524,351.4472,24.4922
13.30.26,0.36403,6.5524,351.4472,24.4922
13.30.27,0.36403,6.5524,352.1132,24.4922
13.30.27,0.36458,6.5524,352.1132,24.4922
13.30.27,0.36403,6.5524,351.4472,24.4922
13.30.28,0.36458,6.5524,352.1132,24.4922
13.30.28,0.36403,6.5524,352.7688,24.4922
13.30.28,0.36403,6.5524,352.7688,24.4922
13.30.28,0.36458,6.5524,352.7688,24.4922
13.30.29,0.36458,6.5524,352.7688,24.4922
13.30.29,0.36458,6.5524,352.7688,24.4922
13.30.29,0.36458,6.5524,352.7688,24.4922
13.30.30,0.36513,6.5524,351.4472,24.4922
13.30.30,0.36458,6.5524,352.1132,24.4922
13.30.30,0.36458,6.5524,352.7688,24.4922
13.30.31,0.36513,6.5524,352.1132,24.4922
13.30.31,0.36403,6.5524,352.1132,24.4922
13.30.31,0.36458,6.5524,352.1132,24.4922
13.30.32,0.36458,6.5299,352.7688,24.4922
13.30.32,0.36458,6.5524,352.7688,24.4922
13.30.32,0.36458,6.5524,352.7688,24.4922
13.30.32,0.36458,6.5524,352.1132,24.4922
13.30.33,0.36458,6.5524,352.7688,24.4922
13.30.33,0.36458,6.5524,352.7688,24.4922
