Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.6.1,0.34705,7.839,347.952,24.4922
13.6.1,0.34759,7.839,347.952,24.4922
13.6.2,0.34814,7.812,347.952,24.4922
13.6.2,0.34814,7.812,347.952,24.4922
13.6.2,0.34814,7.839,347.952,24.4922
13.6.3,0.34924,7.812,347.952,24.4922
13.6.3,0.34924,7.812,347.952,24.4922
13.6.3,0.34924,7.812,347.952,24.4922
13.6.3,0.34924,7.812,347.952,24.4922
13.6.4,0.34924,7.812,347.952,24.4922
13.6.4,0.34924,7.812,347.952,24.4922
13.6.4,0.34979,7.812,347.952,24.4922
13.6.5,0.34979,7.812,347.952,24.4922
13.6.5,0.34924,7.812,347.952,24.4922
13.6.5,0.34924,7.812,347.952,24.4922
13.6.6,0.34979,7.812,347.952,24.4922
13.6.6,0.34924,7.812,347.952,24.4922
13.6.6,0.34924,7.812,347.952,24.4922
13.6.7,0.34979,7.812,347.952,24.4922
13.6.7,0.34979,7.812,347.952,24.4922
13.6.7,0.34979,7.812,347.952,24.4922
13.6.7,0.34979,7.812,347.952,24.4922
13.6.8,0.34979,7.812,347.952,24.4922
13.6.8,0.34979,7.812,347.952,24.4922
13.6.8,0.34979,7.812,347.952,24.4922
13.6.9,0.35033,7.812,347.952,24.4922
13.6.9,0.34979,7.812,347.952,24.4922
13.6.9,0.34979,7.812,347.952,24.4922
13.6.10,0.35033,7.812,347.218,24.4922
13.6.10,0.35033,7.812,347.218,24.4922
13.6.10,0.35033,7.812,347.218,24.4922
13.6.11,0.34979,7.812,347.952,24.4922
13.6.11,0.35033,7.812,347.952,24.4922
13.6.11,0.35033,7.812,347.218,24.4922
13.6.11,0.35033,7.812,347.952,24.4922
13.6.12,0.35033,7.812,347.218,24.4922
13.6.12,0.35033,7.812,347.218,24.4922
13.6.12,0.35033,7.812,347.218,24.4922
13.6.13,0.35033,7.7851,347.952,24.4922
13.6.13,0.35033,7.812,347.218,24.4922
13.6.13,0.35033,7.7851,347.218,24.4922
13.6.14,0.35033,7.7851,347.218,24.4922
13.6.14,0.34979,7.7851,347.218,24.4922
13.6.14,0.35033,7.7851,347.218,24.4922
13.6.15,0.35088,7.7851,347.218,24.4922
13.6.15,0.35088,7.7851,347.218,24.4922
13.6.15,0.35033,7.7851,347.218,24.4922
13.6.15,0.35088,7.7851,347.952,24.4922
13.6.16,0.35088,7.7851,347.952,24.4922
13.6.16,0.35088,7.7851,347.952,24.4922
13.6.16,0.35088,7.7851,347.952,24.4922
13.6.17,0.35088,7.7851,347.952,24.4922
13.6.17,0.35088,7.7851,347.952,24.4922
13.6.17,0.35088,7.7851,347.952,24.4922
13.6.18,0.35033,7.7851,347.952,24.4922
13.6.18,0.34979,7.7851,347.218,24.4922
13.6.18,0.35033,7.7851,347.952,24.4922
13.6.19,0.35088,7.7851,347.952,24.4922
13.6.19,0.35143,7.7851,347.952,24.4922
13.6.19,0.35088,7.7851,347.218,24.4922
13.6.19,0.34979,7.7851,347.952,24.4922
13.6.20,0.35253,7.7851,347.952,24.4922
13.6.20,0.35088,7.7851,347.952,24.4922
13.6.20,0.35088,7.7851,347.218,24.4922
13.6.21,0.35143,7.7851,347.218,24.4922
13.6.21,0.35033,7.7851,347.952,24.4922
13.6.21,0.35088,7.7851,347.952,24.4922
13.6.22,0.35088,7.7851,347.952,24.4922
13.6.22,0.35143,7.7851,347.218,24.4922
13.6.22,0.35033,7.7851,347.218,24.4922
13.6.23,0.35033,7.7851,347.218,24.4922
13.6.23,0.35088,7.7583,347.218,24.4922
13.6.23,0.35088,7.7851,347.952,24.4922
13.6.23,0.35143,7.7583,347.218,24.4922
13.6.24,0.35143,7.7583,347.218,24.4922
13.6.24,0.35198,7.7851,347.218,24.4922
13.6.24,0.35143,7.7583,347.218,24.4922
13.6.25,0.35088,7.7851,347.218,24.4922
13.6.25,0.35143,7.7583,347.218,24.4922
13.6.25,0.35088,7.7583,347.218,24.4922
13.6.26,0.35143,7.7851,347.218,24.4922
13.6.26,0.35198,7.7583,347.218,24.4922
13.6.26,0.35143,7.7851,347.218,24.4922
13.6.27,0.35198,7.7583,347.218,24.4922
13.6.27,0.35088,7.7851,347.218,24.4922
13.6.27,0.35143,7.7583,347.218,24.4922
13.6.27,0.35198,7.7583,347.218,24.4922
13.6.28,0.35143,7.7583,347.218,24.4922
13.6.28,0.35198,7.7583,347.218,24.4922
