Time(h.m.s),Dust(mg/m3),CO(ppm),CO2,temp(C)
13.22.1,0.36129,6.8057,342.5437,24.4922
13.22.1,0.36184,6.8057,342.5437,24.4922
13.22.2,0.36239,6.8057,343.3567,24.4922
13.22.2,0.36239,6.8057,342.5437,24.4922
13.22.2,0.36184,6.8057,342.5437,24.4922
13.22.2,0.36239,6.8057,342.5437,24.4922
13.22.3,0.36239,6.8057,343.3567,24.4922
13.22.3,0.36239,6.8057,342.5437,24.4922
13.22.3,0.36239,6.8057,342.5437,24.4922
13.22.4,0.36239,6.8057,342.5437,24.4922
13.22.4,0.36239,6.8057,343.3567,24.4922
13.22.4,0.36239,6.8057,342.5437,24.4922
13.22.5,0.36239,6.8057,342.5437,24.4922
13.22.5,0.36184,6.8057,343.3567,24.4922
13.22.5,0.36239,6.8057,342.5437,24.4922
13.22.6,0.36239,6.8057,342.5437,24.4922
13.22.6,0.36293,6.8057,342.5437,24.4922
13.22.6,0.36239,6.8057,342.5437,24.4922
13.22.6,0.36293,6.8057,342.5437,24.4922
13.22.7,0.36293,6.8057,342.5437,24.4922
13.22.7,0.36293,6.8057,342.5437,24.4922
13.22.7,0.36239,6.8057,342.5437,24.4922
13.22.8,0.36239,6.8057,342.5437,24.4922
13.22.8,0.36239,6.8057,342.5437,24.4922
13.22.8,0.36239,6.8057,342.5437,24.4922
13.22.9,0.36239,6.8057,342.5437,24.4922
13.22.9,0.36293,6.8057,342.5437,24.4922
13.22.9,0.36239,6.8057,342.5437,24.4922
13.22.10,0.36348,6.8057,342.5437,24.4922
13.22.10,0.36293,6.8057,342.5437,24.4922
13.22.10,0.36293,6.8057,342.5437,24.4922
13.22.10,0.36293,6.8057,342.5437,24.4922
13.22.11,0.36239,6.8057,342.5437,24.4922
13.22.11,0.36293,6.8057,342.5437,24.4922
13.22.11,0.36293,6.8057,342.5437,24.4922
13.22.12,0.36293,6.8057,342.5437,24.4922
13.22.12,0.36293,6.8057,342.5437,24.4922
13.22.12,0.36239,6.8057,342.5437,24.4922
13.22.13,0.36239,6.8057,342.5437,24.4922
13.22.13,0.36348,6.8057,342.5437,24.4922
13.22.13,0.36293,6.7823,342.5437,24.4922
13.22.14,0.36293,6.7823,342.5437,24.1699
13.22.14,0.36239,6.7823,342.5437,24.4922
13.22.14,0.36239,6.7823,342.5437,24.4922
13.22.14,0.36293,6.7823,342.5437,24.4922
13.22.15,0.36239,6.7823,342.5437,24.4922
13.22.15,0.36239,6.7823,342.5437,24.4922
13.22.15,0.36239,6.7823,342.5437,24.4922
13.22.16,0.36348,6.7823,342.5437,24.4922
13.22.16,0.36293,6.7823,342.5437,24.4922
13.22.16,0.36293,6.7823,342.5437,24.4922
13.22.17,0.36293,6.7823,342.5437,24.4922
13.22.17,0.36239,6.7823,342.5437,24.4922
13.22.17,0.36293,6.7823,342.5437,24.4922
13.22.18,0.36293,6.7823,342.5437,24.4922
13.22.18,0.36348,6.7823,342.5437,24.4922
13.22.18,0.36293,6.7823,342.5437,24.4922
13.22.18,0.36239,6.7823,342.5437,24.4922
13.22.19,0.36293,6.7823,342.5437,24.4922
13.22.19,0.36348,6.7823,342.5437,24.4922
13.22.19,0.36293,6.7823,342.5437,24.4922
